name,region,acronym,est_no_tiles,split
20220810T064957_000485,North Africa & Middle East,ME,1,train
20220810T065021_000486,North Africa & Middle East,ME,1,train
20220810T065132_000487,North Africa & Middle East,ME,1,train
20220810T065132_000496,North Africa & Middle East,ME,1,train
20220811T042630_000490,North Africa & Middle East,ME,1,train
20220814T051412_000491,North Africa & Middle East,ME,1,train
20220815T042826_000492,Stans,ST,10,train
20220815T042826_000493,Stans,ST,4,train
20220815T042838_000494,Stans,ST,1,train
20220815T074645_000495,Stans,ST,1,train
20220815T074645_000742,Stans,ST,1,train
20220815T140823_000497,North Africa & Middle East,ME,4,train
20220816T034409_000741,Stans,ST,1,train
20220816T101035_000502,Stans,ST,1,train
20220816T101058_000500,Stans,ST,1,train
20220816T114505_000498,Europe,EU,1,train
20220817T043235_000743,Stans,ST,1,train
20220817T043235_000744,Stans,ST,1,train
20220817T092038_000503,Stans,ST,1,train
20220818T034231_000507,Stans,ST,1,train
20220818T070105_000508,China & Mongolia,CM,1,val
20220818T083506_000506,Stans,ST,1,train
20220818T114440_000505,North Africa & Middle East,ME,1,train
20220819T092231_000510,Stans,ST,1,train
20220819T123047_000511,North Africa & Middle East,ME,1,train
20220820T052804_000514,China & Mongolia,CM,1,val
20220820T083324_000512,Stans,ST,1,train
20220820T083324_000513,Stans,ST,6,train
20220820T100739_002712,Europe,EU,1,train
20220820T100937_002713,North Africa & Middle East,ME,1,train
20220820T101039_002715,North Africa & Middle East,ME,1,train
20220821T110023_002719,North Africa & Middle East,ME,1,train
20220821T110023_002720,North Africa & Middle East,ME,1,train
20220822T065713_000517,Stans,ST,1,train
20220822T100653_000516,North Africa & Middle East,ME,1,train
20220823T074504_000519,Stans,ST,4,train
20220823T074504_000520,Stans,ST,1,train
20220823T074504_000522,Stans,ST,1,train
20220823T074504_000523,Stans,ST,1,train
20220826T065435_000528,Stans,ST,1,train
20220826T065435_000529,Stans,ST,1,train
20220826T065435_000530,Stans,ST,1,train
20220826T065435_000531,Stans,ST,1,train
20220826T082915_000527,North Africa & Middle East,ME,4,train
20220826T174642_000524,North America,AM,1,train
20220826T174642_000525,North America,AM,1,train
20220827T060730_000533,Stans,ST,1,train
20220827T060753_000534,Stans,ST,1,train
20220827T060753_000535,Stans,ST,1,train
20220827T060753_000536,Stans,ST,1,train
20220827T060753_000537,Stans,ST,1,train
20220827T060753_000538,Stans,ST,8,train
20220827T060753_000539,Stans,ST,1,train
20220827T060753_000540,Stans,ST,1,train
20220827T060753_000541,Stans,ST,1,train
20220827T074030_000542,Europe,EU,1,train
20220827T104927_000526,North Africa & Middle East,ME,1,train
20220828T051853_000915,Stans,ST,4,train
20220828T051905_000916,Stans,ST,4,train
20220828T051905_000917,Stans,ST,1,train
20220828T051917_000918,Stans,ST,1,train
20220828T051929_000919,Stans,ST,1,train
20220828T051929_000920,Stans,ST,1,train
20220828T051941_000921,Stans,ST,9,train
20220828T051941_000922,Stans,ST,4,train
20220828T065300_000925,Europe,EU,1,train
20220828T065324_000924,Europe,EU,1,train
20220828T065550_000923,North Africa & Middle East,ME,1,train
20220828T065626_002733,North Africa & Middle East,ME,1,train
20220828T082847_000926,North Africa & Middle East,ME,1,train
20220828T082847_000927,North Africa & Middle East,ME,1,train
20220828T082847_000928,North Africa & Middle East,ME,1,train
20220828T082847_000929,North Africa & Middle East,ME,1,train
20220828T082847_000930,North Africa & Middle East,ME,1,train
20220829T060627_000543,North Africa & Middle East,ME,1,train
20220829T060913_000544,SE Asia,AS,16,test
20220829T060913_000545,SE Asia,AS,4,test
20220829T165553_000740,North America,AM,1,train
20220830T065244_000546,North Africa & Middle East,ME,4,train
20220831T060702_000547,North Africa & Middle East,ME,1,train
20220831T060702_000548,North Africa & Middle East,ME,4,train
20220831T060738_002200,North Africa & Middle East,ME,1,train
20220901T034318_000554,Stans,ST,1,train
20220901T034318_000555,Stans,ST,1,train
20220901T034318_000556,Stans,ST,1,train
20220901T034318_000557,Stans,ST,1,train
20220901T034318_000558,Stans,ST,1,train
20220901T034318_000559,Stans,ST,1,train
20220901T034318_000560,Stans,ST,1,train
20220901T034318_000561,Stans,ST,1,train
20220901T034318_000562,Stans,ST,4,train
20220901T034318_000563,Stans,ST,1,train
20220901T034318_000564,Stans,ST,1,train
20220901T034318_000565,Stans,ST,1,train
20220901T051709_000550,North Africa & Middle East,ME,1,train
20220901T051720_000551,North Africa & Middle East,ME,1,train
20220901T051920_000552,North Africa & Middle East,ME,1,train
20220901T082525_000549,North Africa & Middle East,ME,16,train
20220903T051924_000568,North Africa & Middle East,ME,11,train
20220903T065056_002339,North Africa & Middle East,ME,1,train
20220903T065242_000567,North Africa & Middle East,ME,1,train
20220903T082537_000566,North Africa & Middle East,ME,1,train
20220909T070254_000569,South America & South Africa,SA,1,test
20220909T070306_000570,South America & South Africa,SA,1,test
20220909T070306_000571,South America & South Africa,SA,1,test
20220909T070306_000572,South America & South Africa,SA,1,test
20230107T143818_000574,South America & South Africa,SA,1,test
20230111T130107_000576,South America & South Africa,SA,1,test
20230111T130218_000575,South America & South Africa,SA,1,test
20230119T040223_000578,Australia,AU,1,val
20230119T040223_000579,Australia,AU,1,val
20230121T161834_000581,South America & South Africa,SA,1,test
20230122T153151_000582,South America & South Africa,SA,1,test
20230123T085311_000583,SE Asia,AS,1,test
20230125T004744_000584,Australia,AU,1,val
20230125T004744_000586,Australia,AU,1,val
20230126T062716_000587,SE Asia,AS,1,test
20230126T124335_000590,North Africa & Middle East,ME,1,train
20230127T162104_000591,South America & South Africa,SA,1,test
20230127T162104_000592,South America & South Africa,SA,1,test
20230128T124118_000593,North Africa & Middle East,ME,1,train
20230128T124118_000594,North Africa & Middle East,ME,1,train
20230128T124130_000595,North Africa & Middle East,ME,1,train
20230129T084611_000738,North Africa & Middle East,ME,1,train
20230129T130321_000596,South America & South Africa,SA,1,test
20230129T130333_000597,South America & South Africa,SA,1,test
20230130T093555_000598,North Africa & Middle East,ME,1,train
20230130T184923_000739,North America,AM,1,train
20230131T053924_000600,SE Asia,AS,1,test
20230131T053936_000601,SE Asia,AS,12,test
20230131T054317_000602,China & Mongolia,CM,1,val
20230131T054340_000603,China & Mongolia,CM,1,val
20230131T054340_000604,China & Mongolia,CM,1,val
20230131T084913_000599,Stans,ST,1,train
20230201T075326_000605,North Africa & Middle East,ME,1,train
20230202T070803_000606,North Africa & Middle East,ME,1,train
20230202T070803_000610,North Africa & Middle East,ME,1,train
20230202T193821_000611,North America,AM,1,train
20230203T062256_000614,SE Asia,AS,1,test
20230203T062629_000615,China & Mongolia,CM,1,val
20230203T062629_000616,China & Mongolia,CM,1,val
20230203T171434_000613,North America,AM,1,train
20230204T040649_000617,China & Mongolia,CM,1,val
20230204T041009_000618,China & Mongolia,CM,1,val
20230204T070701_000621,North Africa & Middle East,ME,16,train
20230204T071117_000622,Stans,ST,1,train
20230204T071144_000623,Stans,ST,1,train
20230204T084139_000619,North Africa & Middle East,ME,1,train
20230204T084203_000620,North Africa & Middle East,ME,1,train
20230205T171244_000624,North America,AM,1,train
20230205T171255_000625,North America,AM,1,train
20230205T171255_000626,North America,AM,1,train
20230205T171255_000627,North America,AM,1,train
20230205T171255_000628,North America,AM,1,train
20230205T171255_000629,North America,AM,1,train
20230205T171255_000630,North America,AM,4,train
20230205T171255_000631,North America,AM,1,train
20230206T162514_000635,North America,AM,1,train
20230214T072457_000640,China & Mongolia,CM,1,val
20230214T085715_000639,China & Mongolia,CM,1,val
20230214T103422_000637,SE Asia,AS,1,test
20230214T103422_000638,SE Asia,AS,1,test
20230214T103457_000636,SE Asia,AS,1,test
20230215T063626_000643,China & Mongolia,CM,1,val
20230215T111933_000641,North Africa & Middle East,ME,1,train
20230215T203354_000644,North America,AM,1,train
20230216T133626_000658,North Africa & Middle East,ME,1,train
20230216T133626_000659,North Africa & Middle East,ME,1,train
20230216T133626_000660,North Africa & Middle East,ME,1,train
20230216T133626_000661,North Africa & Middle East,ME,1,train
20230216T133701_000662,North Africa & Middle East,ME,1,train
20230217T063221_000646,China & Mongolia,CM,1,val
20230217T111603_000653,North Africa & Middle East,ME,4,train
20230217T203134_000647,North America,AM,1,train
20230217T203432_000648,North America,AM,1,train
20230218T085651_000656,SE Asia,AS,1,test
20230218T085651_000657,SE Asia,AS,1,test
20230218T085703_000655,SE Asia,AS,1,test
20230218T085739_000654,SE Asia,AS,4,test
20230218T102723_000652,North Africa & Middle East,ME,1,train
20230218T120210_000649,North Africa & Middle East,ME,1,train
20230218T120210_000650,North Africa & Middle East,ME,1,train
20230218T120210_000651,North Africa & Middle East,ME,1,train
