name,region,est_no_tiles,split
20220810T064957_000485_ME,North Africa & Middle East,1,train
20220810T065021_000486_ME,North Africa & Middle East,1,train
20220810T065132_000487_ME,North Africa & Middle East,1,train
20220810T065132_000496_ME,North Africa & Middle East,1,train
20220811T042630_000490_ME,North Africa & Middle East,1,train
20220814T051412_000491_ME,North Africa & Middle East,1,train
20220815T042826_000492_ST,Stans,10,train
20220815T042826_000493_ST,Stans,4,train
20220815T042838_000494_ST,Stans,1,train
20220815T074645_000495_ST,Stans,1,train
20220815T074645_000742_ST,Stans,1,train
20220815T140823_000497_ME,North Africa & Middle East,4,train
20220816T034409_000741_ST,Stans,1,train
20220816T101035_000502_ST,Stans,1,train
20220816T101058_000500_ST,Stans,1,train
20220816T114505_000498_EU,Europe,1,train
20220817T043235_000743_ST,Stans,1,train
20220817T043235_000744_ST,Stans,1,train
20220817T092038_000503_ST,Stans,1,train
20220818T034231_000507_ST,Stans,1,train
20220818T070105_000508_CM,China & Mongolia,1,val
20220818T083506_000506_ST,Stans,1,train
20220818T114440_000505_ME,North Africa & Middle East,1,train
20220819T092231_000510_ST,Stans,1,train
20220819T123047_000511_ME,North Africa & Middle East,1,train
20220820T052804_000514_CM,China & Mongolia,1,val
20220820T083324_000512_ST,Stans,1,train
20220820T083324_000513_ST,Stans,6,train
20220820T100739_002712_EU,Europe,1,train
20220820T100937_002713_ME,North Africa & Middle East,1,train
20220820T101039_002715_ME,North Africa & Middle East,1,train
20220821T110023_002719_ME,North Africa & Middle East,1,train
20220821T110023_002720_ME,North Africa & Middle East,1,train
20220822T065713_000517_ST,Stans,1,train
20220822T100653_000516_ME,North Africa & Middle East,1,train
20220823T074504_000519_ST,Stans,4,train
20220823T074504_000520_ST,Stans,1,train
20220823T074504_000522_ST,Stans,1,train
20220823T074504_000523_ST,Stans,1,train
20220826T065435_000528_ST,Stans,1,train
20220826T065435_000529_ST,Stans,1,train
20220826T065435_000530_ST,Stans,1,train
20220826T065435_000531_ST,Stans,1,train
20220826T082915_000527_ME,North Africa & Middle East,4,train
20220826T174642_000524_AM,North America,1,train
20220826T174642_000525_AM,North America,1,train
20220827T060730_000533_ST,Stans,1,train
20220827T060753_000534_ST,Stans,1,train
20220827T060753_000535_ST,Stans,1,train
20220827T060753_000536_ST,Stans,1,train
20220827T060753_000537_ST,Stans,1,train
20220827T060753_000538_ST,Stans,8,train
20220827T060753_000539_ST,Stans,1,train
20220827T060753_000540_ST,Stans,1,train
20220827T060753_000541_ST,Stans,1,train
20220827T074030_000542_EU,Europe,1,train
20220827T104927_000526_ME,North Africa & Middle East,1,train
20220828T051853_000915_ST,Stans,4,train
20220828T051905_000916_ST,Stans,4,train
20220828T051905_000917_ST,Stans,1,train
20220828T051917_000918_ST,Stans,1,train
20220828T051929_000919_ST,Stans,1,train
20220828T051929_000920_ST,Stans,1,train
20220828T051941_000921_ST,Stans,9,train
20220828T051941_000922_ST,Stans,4,train
20220828T065300_000925_EU,Europe,1,train
