patch_name,parent_scene_id,region_acronym,has_methane,grid_location,split
20220810T064957_000485_ME_1_r00_c00.tif,20220810T064957_000485,ME,1,r00_c00,train
20220810T065021_000486_ME_1_r00_c00.tif,20220810T065021_000486,ME,1,r00_c00,train
20220810T065132_000487_ME_1_r00_c00.tif,20220810T065132_000487,ME,1,r00_c00,train
20220810T065132_000496_ME_1_r00_c00.tif,20220810T065132_000496,ME,1,r00_c00,train
20220811T042630_000490_ME_1_r00_c00.tif,20220811T042630_000490,ME,1,r00_c00,train
20220814T051412_000491_ME_1_r00_c00.tif,20220814T051412_000491,ME,1,r00_c00,train
20220815T042826_000492_ST_0_r00_c06.tif,20220815T042826_000492,ST,0,r00_c06,train
20220815T042826_000492_ST_1_r00_c01.tif,20220815T042826_000492,ST,1,r00_c01,train
20220815T042826_000492_ST_1_r00_c02.tif,20220815T042826_000492,ST,1,r00_c02,train
20220815T042826_000492_ST_1_r00_c03.tif,20220815T042826_000492,ST,1,r00_c03,train
20220815T042826_000492_ST_1_r00_c04.tif,20220815T042826_000492,ST,1,r00_c04,train
20220815T042826_000492_ST_1_r00_c05.tif,20220815T042826_000492,ST,1,r00_c05,train
20220815T042826_000492_ST_1_r01_c00.tif,20220815T042826_000492,ST,1,r01_c00,train
20220815T042826_000492_ST_1_r01_c01.tif,20220815T042826_000492,ST,1,r01_c01,train
20220815T042826_000492_ST_1_r01_c02.tif,20220815T042826_000492,ST,1,r01_c02,train
20220815T042826_000492_ST_1_r01_c03.tif,20220815T042826_000492,ST,1,r01_c03,train
20220815T042826_000492_ST_1_r01_c04.tif,20220815T042826_000492,ST,1,r01_c04,train
20220815T042826_000492_ST_1_r01_c05.tif,20220815T042826_000492,ST,1,r01_c05,train
20220815T042826_000492_ST_1_r01_c06.tif,20220815T042826_000492,ST,1,r01_c06,train
20220815T042826_000493_ST_1_r00_c00.tif,20220815T042826_000493,ST,1,r00_c00,train
20220815T042826_000493_ST_1_r00_c01.tif,20220815T042826_000493,ST,1,r00_c01,train
20220815T042826_000493_ST_1_r00_c02.tif,20220815T042826_000493,ST,1,r00_c02,train
20220815T042826_000493_ST_1_r00_c03.tif,20220815T042826_000493,ST,1,r00_c03,train
20220815T042826_000493_ST_1_r00_c04.tif,20220815T042826_000493,ST,1,r00_c04,train
20220815T042826_000493_ST_1_r01_c00.tif,20220815T042826_000493,ST,1,r01_c00,train
20220815T042826_000493_ST_1_r01_c01.tif,20220815T042826_000493,ST,1,r01_c01,train
20220815T042826_000493_ST_1_r01_c02.tif,20220815T042826_000493,ST,1,r01_c02,train
20220815T042826_000493_ST_1_r01_c03.tif,20220815T042826_000493,ST,1,r01_c03,train
20220815T042826_000493_ST_1_r01_c04.tif,20220815T042826_000493,ST,1,r01_c04,train
20220815T042838_000494_ST_1_r00_c00.tif,20220815T042838_000494,ST,1,r00_c00,train
20220815T074645_000495_ST_1_r00_c00.tif,20220815T074645_000495,ST,1,r00_c00,train
20220815T074645_000742_ST_1_r00_c00.tif,20220815T074645_000742,ST,1,r00_c00,train
20220815T140823_000497_ME_1_r00_c00.tif,20220815T140823_000497,ME,1,r00_c00,train
20220815T140823_000497_ME_1_r00_c01.tif,20220815T140823_000497,ME,1,r00_c01,train
